,AM.AD.1,AM.AD.2,AM.AD.3,AM.AD.4,DA.AD.1,DA.AD.1T,DA.AD.2,DA.AD.3,DA.AD.3T,DA.AD.4,ES.AD.1,ES.AD.2,ES.AD.3,ES.AD.4,FR.AD.1,FR.AD.2,FR.AD.3,FR.AD.4,FR.AD.5,FR.AD.6,FR.AD.7,FR.AD.8,IT.AD.1,IT.AD.2,IT.AD.3,IT.AD.4,IT.AD.5,IT.AD.6,JP.AD.1,JP.AD.2,JP.AD.3,JP.AD.4,JP.AD.5,JP.AD.6,JP.AD.7,JP.AD.8,JP.AD.9,JP.IN.1,JP.IN.2,JP.IN.3,JP.IN.4,MH0001,MH0002,MH0003,MH0004,MH0005,MH0006,MH0007,MH0008,MH0009,MH0010,MH0011,MH0012,MH0013,MH0014,MH0015,MH0016,MH0017,MH0018,MH0019,MH0020,MH0021,MH0022,MH0023,MH0024,MH0025,MH0026,MH0027,MH0028,MH0030,MH0031,MH0032,MH0033,MH0034,MH0035,MH0036,MH0037,MH0038,MH0039,MH0040,MH0041,MH0042,MH0043,MH0044,MH0045,MH0046,MH0047,MH0048,MH0049,MH0050,MH0051,MH0052,MH0053,MH0054,MH0055,MH0056,MH0057,MH0058,MH0059,MH0060,MH0061,MH0062,MH0063,MH0064,MH0065,MH0066,MH0067,MH0068,MH0069,MH0070,MH0071,MH0072,MH0073,MH0074,MH0075,MH0076,MH0077,MH0078,MH0079,MH0080,MH0081,MH0082,MH0083,MH0084,MH0085,MH0086,TS1_V2,TS10_V2,TS100_V2,TS101.2_V2,TS103_V2,TS104_V2,TS105_V2,TS106_V2,TS107_V2,TS109_V2,TS11_V2,TS110_V2,TS111_V2,TS115_V2,TS116_V2,TS117_V2,TS118_V2,TS119_V2,TS12_V2,TS120_V2,TS124_V2,TS125_V2,TS126_V2,TS127_V2,TS128_V2,TS129_V2,TS13_V2,TS130_V2,TS131_V2,TS132_V2,TS133_V2,TS134_V2,TS135_V2,TS136_V2,TS137_V2,TS138_V2,TS139_V2,TS14_V2,TS140_V2,TS141_V2,TS142_V2,TS143_V2,TS144_V2,TS145_V2,TS146_V2,TS147_V2,TS148_V2,TS149_V2,TS15_V2,TS150_V2,TS151_V2,TS152_V2,TS153_V2,TS154.2_V2,TS155_V2,TS156_V2,TS16_V2,TS160_V2,TS161_V2,TS162_V2,TS163_V2,TS164_V2,TS165_V2,TS166_V2,TS167_V2,TS168_V2,TS169_V2,TS17_V2,TS170_V2,TS178_V2,TS179_V2,TS180_V2,TS181_V2,TS182_V2,TS183_V2,TS184_V2,TS185_V2,TS186_V2,TS19_V2,TS190_V2,TS191_V2,TS192_V2,TS193_V2,TS194_V2,TS195_V2,TS2_V2,TS20_V2,TS21_V2,TS22_V2,TS23_V2,TS25_V2,TS26_V2,TS27_V2,TS28_V2,TS29_V2,TS3_V2,TS30_V2,TS31_V2,TS32_V2,TS33_V2,TS34_V2,TS35_V2,TS37_V2,TS38_V2,TS39_V2,TS4_V2,TS43_V2,TS44_V2,TS49_V2,TS5_V2,TS50_V2,TS51_V2,TS55_V2,TS56_V2,TS57_V2,TS6_V2,TS61_V2,TS62_V2,TS63_V2,TS64_V2,TS65_V2,TS66_V2,TS67_V2,TS68_V2,TS69_V2,TS7_V2,TS70_V2,TS71_V2,TS72_V2,TS73_V2,TS74_V2,TS75_V2,TS76_V2,TS77_V2,TS78_V2,TS8_V2,TS82_V2,TS83_V2,TS84_V2,TS85_V2,TS86_V2,TS87_V2,TS88_V2,TS89_V2,TS9_V2,TS90_V2,TS91_V2,TS92_V2,TS94_V2,TS95_V2,TS96_V2,TS97_V2,TS98_V2,TS99.2_V2
Cyanobacteria,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,185,146,209,148,206,187,237,381,117,321,282,167,261,367,118,105,84,153,179,494,97,100,164,123,115,293,119,93,170,104,86,137,250,87,76,96,154,314,170,65,113,116,103,208,276,154,93,272,536,294,160,306,97,128,145,222,196,589,199,254,316,166,132,523,259,258,182,188,134,117,162,312,239,286,170,91,495,132,252,195,455,163,186,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_XII_GpXII,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,6,8,7,5,10,11,9,9,4,11,4,10,4,3,7,8,6,28,5,7,6,4,5,10,7,6,8,7,3,5,14,2,4,5,5,10,4,3,5,5,4,6,5,4,4,5,10,2,5,6,4,4,5,8,6,5,5,3,8,6,8,7,20,11,9,10,3,8,10,9,7,10,7,3,10,9,10,9,11,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria_Family_XI_GpXI,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,7,11,9,8,10,15,8,10,8,7,8,12,7,4,5,7,8,20,6,8,8,5,6,11,5,5,9,6,4,5,10,3,4,5,7,13,10,3,4,4,8,6,10,7,5,10,20,8,8,9,4,5,7,10,6,13,6,9,14,6,6,16,12,9,10,9,7,7,13,14,8,6,5,4,14,7,12,8,16,7,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_IX_GpIX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,11,12,11,10,14,15,6,16,14,7,12,22,11,8,5,9,11,20,5,7,14,5,5,16,5,4,9,5,5,9,14,7,4,5,8,17,10,3,5,7,9,17,17,10,6,18,28,11,6,17,7,8,12,14,8,25,16,14,18,8,6,18,9,16,8,11,10,10,10,17,12,12,8,2,22,9,16,13,22,11,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera,161,34,475,674,135,216,161,172,377,79,220,194,152,159,174,75,51,126,122,144,58,155,306,35,64,5,177,202,143,549,997,83,147,16,15,28,58,0,0,85,35,145,836,412,301,475,300,336,320,590,245,559,883,171,581,379,383,98,105,155,583,427,76,94,352,409,329,434,179,130,295,276,170,245,370,98,110,124,201,672,450,96,210,443,432,285,788,248,229,323,1165,1624,707,384,161,235,201,486,307,822,338,908,582,379,228,933,311,588,535,327,279,348,656,397,450,716,291,358,921,224,533,394,5155,726,518,1508,0,0,19,8,0,0,0,0,82,0,0,0,0,30,65,0,6,272,0,2,0,11,32,0,0,0,0,0,0,7,62,0,10,0,0,37,1,0,0,0,0,74,45,0,0,0,105,0,0,1,0,0,129,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,125,12,0,39,34,36,0,0,28,384,0,0,0,0,0,0,0,1,259,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,28,0,34,20,0,0,0,208,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,0,23,0,0,0,52,0,67,0,0,14,0,2,0,26,51,0,42,0,39,81
Acidaminococcus,231,65,164,1156,270,493,123,706,1169,219,7584,799,2941,102,1451,120,84,137,120,702,24,137,298,29,97,253,126,620,14967,4228,328,51,97,60,47,57,59,50,0,16,812,1480,1641,849,864,1214,1658,6861,965,3210,587,1852,2779,618,2252,1641,1288,495,5949,404,1406,1205,407,582,1760,831,1316,1950,1154,798,1024,801,362,1871,964,370,382,381,898,1764,913,257,535,533,1192,1497,1635,519,654,1461,3180,26733,6061,1966,621,713,39230,1265,1394,3151,786,8677,16280,770,906,2819,485,1921,1502,862,637,7416,2503,1213,8149,2679,611,1983,4715,706,1694,1258,147183,1881,3283,2908,0,0,0,0,0,0,0,0,19,0,0,0,0,6,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,22,0,0,0,2,0,56,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,26,522,0,2,0,0,0,0,0,0,62,0,6,0,0,0,0,0,0,0,0,82,0,0,0,25,0,0,0,45,0,0,0,0,33,0,0,58,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,34,0,1,2,24,0,0,1,0,0,0,0,26,7,21,25
Mitsuokella,1479,1,1,0,3,40,31,7325,7853,931,0,13217,20,3,0,0,0,0,7,0,1,0,0,0,0,0,0,4119,40,12581,21374,59,0,16,0,1,0,143,0,0,157,383,533,470,421,6126,608,11309,559,39789,261,753,20987,579,909,944,249,251,165,252,296,539,189,206,465,290,301,3113,173,2636,3946,24074,180,328,537,169,145,115,326,999,565,148,207,268,295,440,501,383,296,665,1191,11436,16500,932,227,288,246,461,530,1675,685,655,19618,407,298,1777,162,601,574,382,284,178,482,391,695,885,340,542,1372,213,628,374,2439,386,570,848,0,0,0,0,0,0,0,0,0,0,0,0,0,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
Selenomonas,0,1,6,5,0,5,0,9,13,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,513,829,713,645,893,907,1178,703,1829,377,1102,1593,517,1431,1426,455,436,265,394,733,816,330,353,699,482,474,1317,262,358,656,541,307,645,889,291,233,240,539,1533,809,179,361,421,449,713,699,641,399,1123,1988,1645,1473,1496,310,478,369,754,828,2671,1129,1010,1953,648,456,2594,207,873,855,641,417,323,692,672,982,1371,539,631,2402,382,1044,595,2643,478,1040,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Veillonella,4,1,3,11,34,97,13,0,174,25,0,33,98,16,7,360,55,144,0,347,10,0,0,0,30,287,86,860,0,14,23,16,8,87,114,8,3,393,17,321,1127,1807,319,9000,1469,686,495,338,6988,1756,730,569,721,167,1647,5964,550,417,301,1244,1459,876,118,232,724,257,582,2151,122,273,325,1019,714,1409,4408,105,435,359,283,5693,879,219,557,868,507,514,3062,235,412,407,3019,887,1099,446,420,194,274,489,1003,2950,7367,261,749,681,843,529,366,4409,379,1947,394,37661,110399,1375,729,3052,3526,8701,1667,383,704,828,2200,626,752,3706,0,6,0,2,1,0,0,18,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,2,12,7,0,0,0,0,0,0,4,0,0,1,0,1,3,0,0,1,0,0,2,1,0,1,0,0,0,0,110,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,0,4,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Dialister,146,634,2885,100,0,11,23,206,586,258,0,12,11,311,94,0,0,134,9,205,4459,0,0,2591,3086,110,6033,0,0,84,0,416,2600,230,0,0,55,0,0,0,16,202,150,64233,126,900,231,179,53492,524,21340,279,2753,509,230,1712,153,77,215,32294,216841,126957,64,88,1260,229,178,864,392,1049,1679,3123,35804,321,94378,31569,31265,61,132,155887,231993,7116,25117,64848,167,192,210,1158,226284,219,142640,9284,9756,226,1473,99,119723,178,197,384,257725,98187,7033,186181,783,3306,77271,412682,212,1368,593,158227,335,173968,3696,438,103835,210,373,108,106001,181,1075,359,350,340,51,8,0,0,0,1,17,0,68,0,3,0,0,45,32,0,0,26,6,0,0,0,18,28,0,0,0,0,67,0,22,8,0,0,0,0,0,181,0,0,14,41,0,0,1,0,59,0,519,1,29,0,22,0,0,21,0,0,29,27,8,0,11,0,19,0,0,0,0,0,16,0,28,0,0,9,11,0,2,0,28,28,0,0,0,48,1093,259,0,0,0,0,0,9,0,0,0,0,0,459,0,0,0,54,0,107,0,58,1,0,397,136,0,86,24,1,0,1,0,38,13,0,0,21,1,2,0,26,0,0,0,0,28,18,0,197,0,0,0,68,1,0,0,0,69,18,0,13,23,32,0,7,0,0
Ruminococcaceae,1181,400,5988,17328,2444,3774,3624,5788,11677,1372,5338,3047,1601,6855,2379,5493,588,1505,1210,1572,1032,2024,2752,1996,1042,40,3630,1923,319,1110,713,529,2865,1957,367,515,448,49,0,129,218,5930,166296,36775,51784,8543,11641,16252,10275,300630,7519,35790,36345,10492,35361,36149,43030,4987,1372,8843,54389,43490,6156,4452,59692,26443,11406,28043,23147,4668,45251,7013,88253,7044,14865,7707,5865,50552,12978,107419,31192,18688,10007,11476,9675,13462,43721,18900,9625,35091,597392,82556,51062,59178,10081,32398,22592,21160,81518,51913,30165,40651,31463,17379,7700,74075,10714,37244,33335,16833,18520,10112,12553,26428,27422,84475,17802,25724,59050,48241,52490,158478,30746,6421,22625,50082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subdoligranulum,507,59,2031,8958,2295,3233,963,6268,8481,674,162,2191,530,3257,2332,630,191,1431,1138,1163,707,1126,657,1154,1590,332,1732,2899,1010,404,990,199,645,393,30,717,340,14,0,72,48,2992,32039,19897,5545,3674,9534,7406,16419,22319,5994,22551,29072,2676,30050,18431,21272,3726,947,5502,8934,29514,2268,2581,10259,6803,7046,19304,7585,2425,5867,5169,6332,5422,8388,3936,4260,1232,5625,25831,27790,2305,5870,19314,6686,7515,8010,6044,5721,14282,32040,24216,5454,13690,3779,5889,9411,12982,12821,31915,11882,14790,17316,11695,4023,27661,9426,59398,14557,7452,21506,7216,10602,11157,18260,16792,9766,7290,28411,5171,14391,13741,45047,7016,9300,29893,617,16,77,98,12,42,11,5,83,46,0,422,108,55,60,83,33,197,145,9,23,2,73,208,220,27,800,2,2,48,178,108,128,161,76,132,228,2329,48,28,214,269,88,135,45,135,38,229,599,139,61,253,135,21,25,78,450,40,26,0,34,27,151,56,772,311,185,53,63,58,145,83,150,204,58,30,157,31,14,201,115,112,114,79,120,386,67,1234,0,10,131,158,182,580,999,640,13,716,223,751,93,42,90,194,180,143,45,33,1468,331,0,481,8,16,0,62,7,2,5,241,194,80,2,58,1,109,171,51,49,1,39,0,90,0,9,996,9,51,36,62,324,107,0,254,385,125,21,49,135,186,66,25,0,3
Faecalibacterium,3833,428,42014,108655,16330,36475,4102,22825,29318,8099,15962,25761,15752,18669,23648,8988,4943,13867,15192,8423,7202,8766,7074,10140,18124,3088,7047,26902,27567,12579,29658,10923,4626,5472,892,4729,12343,306,0,420,715,40067,131002,190979,46566,32092,82212,52344,379787,134139,132106,168757,90619,11531,251105,176286,70077,63021,31603,43687,248091,167219,11021,21843,101194,51424,50987,184584,34572,32864,41876,98737,51747,134840,100449,26403,21216,13475,94589,175181,192949,14702,41989,223358,138350,103598,38616,51203,133113,121149,143941,211054,66528,124366,52808,65919,50926,124240,103452,316254,145129,277658,156981,221005,76918,127757,182334,405191,193411,96169,79009,159698,246507,74352,128212,225904,160940,115325,101066,54472,99926,101958,483674,56330,283514,452809,1109,521,356,110,122,373,75,357,290,318,409,99,296,548,475,1158,490,141,214,9,50,72,131,172,1083,333,1571,494,106,176,497,298,517,383,805,244,410,1834,876,784,484,560,474,334,438,403,818,2425,3478,1,547,308,796,27,81,287,1122,494,846,266,290,289,25,451,403,251,688,124,29,99,185,272,223,1250,268,66,645,526,291,667,303,207,187,360,323,947,6915,1803,388,79,381,668,152,1849,349,1491,1188,2988,1646,1149,441,658,265,92,928,366,139,83,177,862,136,101,206,857,56,1594,34,194,140,624,269,127,164,855,346,1609,414,244,110,252,458,0,706,926,250,3885,392,420,428,133,910,175,30,276,1706,213,87,715,220,275,316,403,755,254
Acetivibrio,52,3,14,24,76,111,113,78,244,32,4,36,18,50,21,7,20,35,33,19,9,60,6,15,44,1,140,16,14,21,8,6,25,16,4,7,6,0,0,29,0,255,885,700,368,258,543,629,979,1418,390,1037,945,350,1055,963,531,261,155,310,516,943,216,211,567,448,470,850,491,274,527,308,390,607,892,255,158,186,406,1474,902,165,285,543,748,466,362,538,395,790,1706,1341,479,778,264,353,493,648,746,1552,1095,820,1217,784,362,1366,408,787,929,781,361,507,562,682,917,1105,664,507,2017,497,925,818,1317,321,772,1831,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,1,0,15,12,14,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotruncus,40,46,1221,1670,491,1107,350,410,1276,144,475,237,317,1068,181,184,145,228,208,253,68,216,614,203,136,13,314,199,138,308,185,105,762,262,56,264,101,0,0,13,30,675,10056,7408,1458,848,2518,1812,3301,6265,1576,3548,4103,1417,8004,6228,5512,1296,501,3161,4663,4779,622,798,3324,2858,2830,5077,3101,774,1855,1181,1389,1411,6529,1188,1565,518,2208,6682,13172,1111,1889,2772,4855,2461,3336,1811,7485,2634,9357,6139,1796,5084,1005,2437,2062,2966,2652,6930,6997,5813,6128,3325,1334,8180,3259,5829,4253,3635,1968,11405,1748,8386,4482,5649,2560,1912,7575,1829,5747,2430,6370,997,3604,12730,166,33,8,20,0,55,2,1,0,1,3,30,19,36,115,2,18,3,6,1,26,6,14,313,28,8,24,14,5,42,17,5,25,6,8,26,23,21,7,5,1,84,42,58,160,6,61,103,36,18,7,16,4,33,89,7,169,5,2,7,5,11,63,11,19,9,33,9,4,1,11,1,40,21,86,3,3,5,149,9,2,52,9,7,50,164,121,75,27,1,136,113,90,29,34,38,7,306,15,187,7,21,17,18,12,5,5,8,15,10,11,1298,6,1,0,5,0,2,8,9,10,8,0,1,22,42,8,4,3,21,10,0,44,3,0,62,1,0,5,3,17,49,8,2,17,27,4,0,84,140,8,0,14,14
Ruminococcus,3421,4912,20638,13773,5652,25205,852,2185,29691,3457,258,2892,1800,4854,6117,3312,582,2996,1626,568,5520,16367,12179,2255,4340,316,15619,2170,221,2488,304,768,3799,901,47,532,49,10,0,83,160,23049,9075,76549,22471,3706,26937,29591,36277,27178,2376,28631,59520,2826,75663,15136,43130,10776,508,14177,61555,23086,7805,19849,42699,29327,15801,32510,10786,37160,25571,7733,17784,9973,50399,7404,3093,4941,3492,73716,56638,7055,21317,13872,19401,7475,37509,47949,4395,20389,37290,105438,31424,16427,1757,12119,21010,18112,34501,23492,14623,340695,24686,7106,4981,116164,3040,70195,110912,7681,19602,4876,147490,15679,35528,52169,15066,76319,170825,13875,34963,37027,119425,25131,66920,98771,279,1,41,8,1,1,27,5,2,43,2,140,58,43,16,47,2,90,1,2,61,1,13,67,116,25,162,18,2,21,32,1,33,158,44,98,147,965,47,14,1,2,21,1,129,89,145,11,600,3,91,130,64,43,42,52,271,16,21,6,11,6,109,1,176,30,199,27,37,0,4,6,111,70,19,10,11,11,5,94,5,43,32,66,27,1392,1634,345,3,0,381,312,2135,520,10,159,122,697,11,222,24,23,176,49,103,6,23,16,8,23,128,20,1,52,7,192,24,7,27,10,33,35,21,39,1,227,88,45,86,54,111,1,14,3,1,765,2,36,1,74,88,66,2,36,465,63,19,6,46,92,26,28,72,40
Alkaliphilus,10,0,1,0,0,3,18,5,21,3,0,0,0,5,0,0,0,3,6,1,0,5,0,5,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,105,148,96,105,85,150,180,331,390,131,246,231,156,321,256,151,86,78,105,177,240,60,73,142,105,117,235,130,96,187,98,84,161,337,69,27,71,101,331,199,44,86,156,183,103,106,161,61,206,405,312,145,213,75,81,66,154,170,466,147,122,312,250,132,324,89,207,245,261,81,127,148,171,222,331,163,116,734,154,341,288,374,94,184,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium,60,7,13,14,31,35,24,6,111,6,3,0,0,11,11,30,6,29,37,54,10,11,8,0,6,218,50,103,0,0,11,4,86,11,1,0,0,569,41,16,465,945,1827,629,982,1423,1127,1436,4414,4913,1224,3409,1734,2164,4519,2276,1610,833,3586,1086,1075,3347,539,1084,1167,2322,1051,1945,1794,1103,2561,3068,1149,6288,4887,450,278,728,971,3902,2870,509,691,1536,3500,875,1827,1421,528,1687,4455,3698,1042,1632,814,691,568,1433,2173,2835,2227,721,2799,4137,2446,2911,1325,1869,2738,3449,818,962,5179,1019,2950,4891,1746,2407,5926,1910,5975,3632,3907,687,2078,3595,1,2,3,2,3,3,4,5,14,2,0,5,1,4,5,28,1,1,1,0,5,3,1,3,8,14,5,1,17,0,6,1,1,6,6,10,0,32,0,0,2,5,0,10,10,0,24,11,119,1,11,10,0,0,17,1,0,2,0,1,10,3,148,0,52,10,6,1,22,9,3,2,30,10,0,0,0,5,78,10,1,0,0,1,0,10,8,64,19,172,49,100,18,9,4,14,17,19,0,0,0,20,19,2,11,2,0,0,4,94,11,5,5,9,33,20,0,5,5,11,13,2,1,19,14,236,10,3,0,0,1,1,7,18,0,65,6,2,2,4,0,2,0,0,26,0,0,2,10,0,0,5,2,1
Symbiobacterium,0,0,4,3,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,393,277,237,146,259,241,221,435,97,351,541,178,429,442,111,116,41,116,152,239,88,94,216,178,97,381,92,76,167,86,91,81,264,78,75,61,155,444,270,55,123,120,82,214,412,169,143,373,688,453,194,470,86,174,116,217,235,969,282,564,394,212,125,890,58,343,245,148,173,61,97,334,254,384,170,133,732,98,326,185,660,71,242,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
